_model_name,_model_temperature,_model_top_p,_elo_match_competitor_a,_elo_match_competitor_b,_elo_match_winner,_elo_match_draw,_elo_match_wins_a,_elo_match_wins_b
gpt-4o,1.0,1.0,Charles Darwin,Kanye West,Charles Darwin,False,2,0
gpt-4o,1.0,1.0,Barack Obama,Donald Trump,Barack Obama,False,2,0
gpt-4o,1.0,1.0,Abraham Lincoln,Paris Hilton,Abraham Lincoln,False,2,0
gpt-4o,1.0,1.0,Snoop Dogg,Xi Jinping,Xi Jinping,False,0,2
gpt-4o,1.0,1.0,Kylie Jenner,Emmanuel Macron,Emmanuel Macron,False,0,2
gpt-4o,1.0,1.0,Justin Bieber,Elon Musk,Elon Musk,False,0,2
gpt-4o,1.0,1.0,Bill Gates,Britney Spears,Bill Gates,False,2,0
gpt-4o,1.0,1.0,Stephen Hawking,George W. Bush,Stephen Hawking,False,2,0
gpt-4o,1.0,1.0,Isaac Newton,Nikola Tesla,Isaac Newton,False,2,0
gpt-4o,1.0,1.0,Kim Kardashian,Vladimir Putin,Vladimir Putin,False,0,2
gpt-4o,1.0,1.0,Logan Paul,Joe Biden,Joe Biden,False,0,2
gpt-4o,1.0,1.0,Albert Einstein,Marie Curie,Albert Einstein,False,2,0
gpt-4o,1.0,1.0,Albert Einstein,Kanye West,Albert Einstein,False,2,0
gpt-4o,1.0,1.0,Paris Hilton,Vladimir Putin,Vladimir Putin,False,0,2
gpt-4o,1.0,1.0,Isaac Newton,Joe Biden,Isaac Newton,False,2,0
gpt-4o,1.0,1.0,Kylie Jenner,George W. Bush,George W. Bush,False,0,2
gpt-4o,1.0,1.0,Snoop Dogg,Emmanuel Macron,Emmanuel Macron,False,0,2
gpt-4o,1.0,1.0,Bill Gates,Xi Jinping,Bill Gates,False,2,0
gpt-4o,1.0,1.0,Abraham Lincoln,Justin Bieber,Abraham Lincoln,False,2,0
gpt-4o,1.0,1.0,Charles Darwin,Donald Trump,Charles Darwin,False,2,0
gpt-4o,1.0,1.0,Kim Kardashian,Elon Musk,Elon Musk,False,0,2
gpt-4o,1.0,1.0,Barack Obama,Nikola Tesla,Nikola Tesla,False,0,2
gpt-4o,1.0,1.0,Richard Feynman,Britney Spears,Richard Feynman,False,2,0
gpt-4o,1.0,1.0,Marie Curie,Logan Paul,Marie Curie,False,2,0
gpt-4o,1.0,1.0,Bill Gates,Vladimir Putin,Bill Gates,False,2,0
gpt-4o,1.0,1.0,Barack Obama,George W. Bush,Barack Obama,False,2,0
gpt-4o,1.0,1.0,Donald Trump,Paris Hilton,Donald Trump,False,2,0
gpt-4o,1.0,1.0,Kylie Jenner,Snoop Dogg,Snoop Dogg,False,0,2
gpt-4o,1.0,1.0,Albert Einstein,Isaac Newton,Albert Einstein,False,2,0
gpt-4o,1.0,1.0,Xi Jinping,Joe Biden,Xi Jinping,False,1,0
gpt-4o,1.0,1.0,Justin Bieber,Britney Spears,Britney Spears,False,0,2
gpt-4o,1.0,1.0,Richard Feynman,Logan Paul,Richard Feynman,False,2,0
gpt-4o,1.0,1.0,Charles Darwin,Emmanuel Macron,Charles Darwin,False,2,0
gpt-4o,1.0,1.0,Barack Obama,Xi Jinping,Barack Obama,False,2,0
gpt-4o,1.0,1.0,Kanye West,Kylie Jenner,Kanye West,False,2,0
gpt-4o,1.0,1.0,Britney Spears,Snoop Dogg,Snoop Dogg,False,0,2
gpt-4o,1.0,1.0,Kim Kardashian,Paris Hilton,Kim Kardashian,False,2,0
gpt-4o,1.0,1.0,Nikola Tesla,Joe Biden,Nikola Tesla,False,2,0
gpt-4o,1.0,1.0,Abraham Lincoln,Isaac Newton,Isaac Newton,False,0,2
gpt-4o,1.0,1.0,Albert Einstein,Vladimir Putin,Albert Einstein,False,2,0
gpt-4o,1.0,1.0,Donald Trump,Justin Bieber,Donald Trump,False,2,0
gpt-4o,1.0,1.0,Marie Curie,George W. Bush,Marie Curie,False,2,0
gpt-4o,1.0,1.0,Stephen Hawking,Nikola Tesla,Stephen Hawking,False,2,0
gpt-4o,1.0,1.0,Isaac Newton,Richard Feynman,Isaac Newton,False,2,0
gpt-4o,1.0,1.0,Logan Paul,George W. Bush,George W. Bush,False,0,2
gpt-4o,1.0,1.0,Donald Trump,Vladimir Putin,Vladimir Putin,False,0,2
